Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2006","2006","7021","Annual value","USD","305.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2007","2007","7021","Annual value","USD","342.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2008","2008","7021","Annual value","USD","333.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2009","2009","7021","Annual value","USD","347.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2010","2010","7021","Annual value","USD","336.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2011","2011","7021","Annual value","USD","277.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2012","2012","7021","Annual value","USD","268.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2013","2013","7021","Annual value","USD","567.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2014","2014","7021","Annual value","USD","354.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2015","2015","7021","Annual value","USD","246.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2016","2016","7021","Annual value","USD","293.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2017","2017","7021","Annual value","USD","281.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2018","2018","7021","Annual value","USD","309.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2019","2019","7021","Annual value","USD","417.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2020","2020","7021","Annual value","USD","320.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2021","2021","7021","Annual value","USD","430.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0113","Rice","1993","1993","7021","Annual value","USD","726.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0113","Rice","1994","1994","7021","Annual value","USD","570.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0113","Rice","1995","1995","7021","Annual value","USD","616","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0141","Soya beans","1996","1996","7021","Annual value","USD","478.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0141","Soya beans","1997","1997","7021","Annual value","USD","335.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0141","Soya beans","1998","1998","7021","Annual value","USD","331.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0141","Soya beans","1999","1999","7021","Annual value","USD","435.8","A","Official figure"
